Time,ID,X,Y,Z
190472.1530154,0,0.7812257409095764,0.7686916589736938,-5.494817969520227e-07
190472.1530154,1,0.783837616443634,0.6627323627471924,0.021115116775035858
190472.1530154,2,0.748182475566864,0.5830575823783875,0.024513592943549156
190472.1530154,3,0.6964273452758789,0.5628090500831604,0.022716639563441277
190472.1530154,4,0.6549276113510132,0.5841838121414185,0.019725561141967773
190472.1530154,5,0.7461490035057068,0.5253912210464478,0.006752733141183853
190472.1530154,6,0.6505679488182068,0.5306008458137512,0.0013321868609637022
190472.1530154,7,0.6493422389030457,0.5745739936828613,-0.00013472615682985634
190472.1530154,8,0.6671046614646912,0.5900465250015259,-0.002207851968705654
190472.1530154,9,0.7207769751548767,0.5424849987030029,-0.010930522345006466
190472.1530154,10,0.6268306374549866,0.5557959079742432,-0.011875241063535213
190472.1530154,11,0.6357280015945435,0.601265013217926,-0.006827557925134897
190472.1530154,12,0.6596373319625854,0.6164703369140625,-0.006083030253648758
190472.1530154,13,0.6948134899139404,0.5787205100059509,-0.026740768924355507
190472.1530154,14,0.605802595615387,0.5910600423812866,-0.02855423279106617
190472.1530154,15,0.6218785643577576,0.6398156881332397,-0.017909936606884003
190472.1530154,16,0.6491835117340088,0.6508888602256775,-0.013968203216791153
190472.1530154,17,0.6697163581848145,0.6298252940177917,-0.041161589324474335
190472.1530154,18,0.6021629571914673,0.6356406211853027,-0.047690249979496
190472.1530154,19,0.6172018647193909,0.675033688545227,-0.03997684642672539
190472.1530154,20,0.641913890838623,0.688859224319458,-0.03392482176423073
190472.1863487,0,0.7846206426620483,0.7837576270103455,-3.974468825163058e-07
190472.1863487,1,0.7822105288505554,0.6741060018539429,0.017964929342269897
190472.1863487,2,0.7435299158096313,0.5937464237213135,0.017357276752591133
190472.1863487,3,0.6925058960914612,0.5745067000389099,0.012062890455126762
190472.1863487,4,0.649147629737854,0.5936446785926819,0.006056524347513914
190472.1863487,5,0.7373575568199158,0.5261861085891724,0.0053725712932646275
